,tweets,timestamps
33,"RT @veloursnft: NeoNinja joins Guild Artemis to compete in the Neo Tokyo tournaments. Our guild currently consists of 15 S1 citizens, many…",2021-12-17 00:21:18+00:00
34,"Metasaurs: 0.17 Ξ
Party Ape: 0.4 Ξ
HeadDAO: 0.1 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.13… https://t.co/q7PBg4lpsl",2021-12-17 00:03:13+00:00
35,"surprised that i don’t think i’ve seen anything on my timeline about neo tokyo s2 identities

yet they’re sitting c… https://t.co/pH4pEMGk1a",2021-12-16 23:42:41+00:00
36,"RT @veloursnft: NeoNinja joins Guild Artemis to compete in the Neo Tokyo tournaments. Our guild currently consists of 15 S1 citizens, many…",2021-12-16 23:42:00+00:00
37,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 22:56:39+00:00
38,"RT @ZssBecker: There are 22 Neo Tokyo Identities for sale. Less than 1% of supply 

Supply crunch as gaming funds/ceos/studios are claiming…",2021-12-16 22:55:01+00:00
39,"⏫ The Power of Two
Desperate ApeWives
VOX Collectibles: Mirandus
Decentraland
Neo Tokyo Part 2 Vault Cards
Neo Toky… https://t.co/LSN2Ea8nd9",2021-12-16 21:47:48+00:00
40,"RT @veloursnft: NeoNinja joins Guild Artemis to compete in the Neo Tokyo tournaments. Our guild currently consists of 15 S1 citizens, many…",2021-12-16 21:38:45+00:00
41,NeoNinja joins Guild Artemis to compete in the Neo Tokyo tournaments. Our guild currently consists of 15 S1 citizen… https://t.co/x77hb6qUvy,2021-12-16 21:30:31+00:00
42,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 21:19:01+00:00
43,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 20:34:07+00:00
44,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 19:35:50+00:00
45,[3/3] Our team currently consists of 15 Neo Tokyo Citizens. Many of us have top ranked elite and legendary (S1) ide… https://t.co/AlKjbdStRw,2021-12-16 19:07:24+00:00
46,@3d_caro @Crypt0packa @ZssBecker @elliotrades Here is the collection for Identities purchased with BYTES https://t.co/Em1hmXRP9x,2021-12-16 19:07:03+00:00
47,"RT @superww886: We're giving away Neo Tokyo Identities NFT currently worth 30 eth  
😇😇😇😋😋😋
To enter: 
1. Like/Retweet
2. Must be following…",2021-12-16 19:04:20+00:00
48,"@basement_trader @CryptoCopeng Is this good enough trading volume for you? https://t.co/r1jLuxs4eq
Not to mention t… https://t.co/ShIfkurKEm",2021-12-16 18:41:02+00:00
49,"@CryptoCopeng This is the full set. Identities, vaults, and land have their own collections. Type it ""Neo Tokyo"" in… https://t.co/MBFOuwFiSx",2021-12-16 18:36:27+00:00
50,"Metasaurs: 0.18 Ξ
Party Ape: 0.42 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.… https://t.co/KKCQvUkuYX",2021-12-16 18:03:23+00:00
51,"$Bytes token is the official token of NEO Tokyo (or) Citizens call it "" The Bitcoin of Crypto Gaming "".

Each NT S1… https://t.co/F9QWbpOMYo",2021-12-16 15:24:59+00:00
52,"RT @nftwhalealert: Hourly Top Volume
Project NANOPASS: Ξ319.17 ($1,282,498.43)
CLONE X: Ξ113.09 ($454,423.39)
X-Consoles: Ξ38.07 ($152,959.…",2021-12-16 14:22:54+00:00
53,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 14:10:11+00:00
54,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 13:46:51+00:00
55,@RatKingOfNT @sokudostable @RhodriJP @mees10r I would love a Neo Tokyo Identities NFT,2021-12-16 13:15:03+00:00
56,"RT @superww886: We're giving away Neo Tokyo Identities NFT currently worth 30 eth  
😇😇😇😋😋😋
To enter: 
1. Like/Retweet
2. Must be following…",2021-12-16 13:05:48+00:00
57,"Metasaurs: 0.17 Ξ
Party Ape: 0.46 Ξ
HeadDAO: 0.11 Ξ
Neo Tokyo Identities: 25.0 Ξ
Neo Tokyo Part 2: 8.8 Ξ
Eponym: 0.… https://t.co/kicIWG7Qea",2021-12-16 12:03:15+00:00
58,"RT @ZssBecker: There are 22 Neo Tokyo Identities for sale. Less than 1% of supply 

Supply crunch as gaming funds/ceos/studios are claiming…",2021-12-16 10:50:39+00:00
59,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 10:39:41+00:00
60,"RT @ZssBecker: There are 22 Neo Tokyo Identities for sale. Less than 1% of supply 

Supply crunch as gaming funds/ceos/studios are claiming…",2021-12-16 09:46:05+00:00
61,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 09:03:36+00:00
62,"RT @superww886: We're giving away Neo Tokyo Identities NFT currently worth 30 eth  
😇😇😇😋😋😋
To enter: 
1. Like/Retweet
2. Must be following…",2021-12-16 08:18:49+00:00
63,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 07:45:05+00:00
64,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 07:44:54+00:00
65,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 06:55:10+00:00
66,"Metasaurs: 0.19 Ξ
Party Ape: 0.39 Ξ
HeadDAO: 0.1 Ξ
Neo Tokyo Identities: 29.9 Ξ
Neo Tokyo Part 2: 8.88 Ξ
Eponym: 0.… https://t.co/ilWigASMS3",2021-12-16 06:03:14+00:00
67,"Hourly Top Volume
Project NANOPASS: Ξ319.17 ($1,282,498.43)
CLONE X: Ξ113.09 ($454,423.39)
X-Consoles: Ξ38.07 ($152… https://t.co/BZwk5763yN",2021-12-16 05:00:01+00:00
68,"Most expensive items sold on OpenSea in the last hour:

Ξ33.5   Emblem Vault [Ethereum] (#643282964...)
Ξ25     CLO… https://t.co/QxDCNjFNsF",2021-12-16 04:59:05+00:00
69,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 04:49:17+00:00
70,📈 #0x9a9 bought Character #1838 - Neo Tokyo Identities  by neotokyonewstv for $78.2K (~19.5 ETH)… https://t.co/JhNXmspPdb,2021-12-16 04:37:14+00:00
71,Pretty cool to look through my DM’s and see some of them rocking Neo Tokyo Identities. I feel like I’m following the right people!,2021-12-16 03:47:15+00:00
72,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-16 02:19:52+00:00
73,Go claim store ownership at Mintable! https://t.co/duPHQZr8CG,2021-12-16 02:12:58+00:00
74,"@ayronft @elonmusk @MrBeast if it's for us, anything from Neo Tokyo Identities and VeeFriends would be amazing! 🔥🔥",2021-12-16 00:10:29+00:00
75,"Metasaurs: 0.2 Ξ
Party Ape: 0.39 Ξ
HeadDAO: 0.11 Ξ
Neo Tokyo Identities: 20.5 Ξ
Neo Tokyo Part 2: 8.9 Ξ
Eponym: 0.1… https://t.co/jDPyyeHS1C",2021-12-16 00:03:36+00:00
76,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 23:00:09+00:00
77,@elliotrades Neo Tokyo Identities ; 84 owners?,2021-12-15 20:47:32+00:00
78,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 20:18:19+00:00
79,"RT @spr3adsh33t: The #1 Collection by Volume (last 10 mins):
Neo Tokyo: Outer Identities - neotokyo-outer-identities
Sales: 9
Unique Buyers…",2021-12-15 19:36:28+00:00
80,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 19:15:25+00:00
81,"RT @nftwhalealert: Hourly Top Volume
CLONE X: Ξ146.16 ($559,422.28)
Bored Ape Yacht Club: Ξ53.00 ($202,852.73)
NeoTokyo Outer Identities: Ξ…",2021-12-15 19:10:32+00:00
82,"Hourly Top Volume
CLONE X: Ξ146.16 ($559,422.28)
Bored Ape Yacht Club: Ξ53.00 ($202,852.73)
NeoTokyo Outer Identiti… https://t.co/MS6s9oLZUE",2021-12-15 19:00:01+00:00
83,Neo Tokyo Outer Identities (S2) are being slept on. Remember what happened with NT Identities (S1). And the games h… https://t.co/vDJGl9y3Oi,2021-12-15 18:48:57+00:00
84,📈 #0x478 bought Character #154 - Neo Tokyo Identities  by neotokyonewstv for $97.9K (~26.0 ETH)… https://t.co/LSbedq909y,2021-12-15 18:31:35+00:00
85,"Metasaurs: 0.17 Ξ
Party Ape: 0.38 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 20.9 Ξ
Neo Tokyo Part 2: 8.9 Ξ
Eponym: 0.… https://t.co/EbXj1bmvQY",2021-12-15 18:03:30+00:00
86,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 17:29:11+00:00
87,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 17:16:39+00:00
88,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 14:55:26+00:00
89,"RT @superww886: We're giving away Neo Tokyo Identities NFT currently worth 30 eth  
😇😇😇😋😋😋
To enter: 
1. Like/Retweet
2. Must be following…",2021-12-15 14:29:47+00:00
90,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 13:48:59+00:00
91,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 13:31:37+00:00
92,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 12:53:29+00:00
93,"Metasaurs: 0.22 Ξ
Party Ape: 0.4 Ξ
HeadDAO: 0.12 Ξ
Neo Tokyo Identities: 21.9 Ξ
Neo Tokyo Part 2: 9.1 Ξ
Eponym: 0.1… https://t.co/cMjnzohA1c",2021-12-15 12:03:14+00:00
94,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 09:26:14+00:00
95,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 08:42:57+00:00
96,"Just got myself a Neo Tokyo Outer Identities for my birthday, can someone help me to navigate the space, a little l… https://t.co/pQs8AMMYCF",2021-12-15 08:36:44+00:00
97,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 08:33:32+00:00
98,"RT @TheCitaDAO_NFT: The CitaDAO will be one of the top 10 holders of Neo Tokyo Citizens and S2 Outer Identities.
We. Want. Bytes.
#NeoTokyo",2021-12-15 07:55:19+00:00
99,"RT @ZssBecker: Win a $4000 NFT (not a NT, but a good one) Comment your wallet/like/share.

Neo Tokyo Season 2 PART 1 : Outer Citizens Ident…",2021-12-15 07:44:24+00:00
