name,slug,label
0xVampire NFT,0xvampire-project,1
Thingdoms NFT,thingdoms,0
Frogs in Disguise NFT,frogsindisguise,1
The Pirate Panda Bay NFT,the-pirate-panda-bay,1
ApePunks NFT,apepunks-,1
Slotie NFT,slotienft,0
Trippy Clone NFT,trippyclone,1
Wild Ape Gang NFT,thewildapegang-official,1
Gambling Apes NFT,gamblingapes,0
Adidas Originals NFT,adidasoriginals,0
Cryptoadz NFT,cryptoadz-by-gremplin,0
FPS Loot NFT,fps-loot,1
